station_code,flow_data,sensors,station_name,station_type,query,altitude,latitude,longitude,county,river_basin,data_source
ALN,   7380 CFS,flow,ALAMEDA CK NR NILES,real-time,/cgi-progs/queryF?ALN,86,37.587158203125,-121.960792541504,ALAMEDA,ALAMEDA CR,http://cdec.water.ca.gov/
CBR,   3342 CFS,flow,AMERICAN RIVER AT CHILI BAR,real-time,/cgi-progs/queryF?CBR,931,38.772,-120.816,EL DORADO,AMERICAN R,http://cdec.water.ca.gov/
AFO,   9550 CFS,flow,AMERICAN RIVER AT FAIR OAKS,real-time,/cgi-progs/queryF?AFO,72,38.6354598999023,-121.227729797363,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
AMK,     86 CFS,flow,AMERICAN SF NR KYBURZ,real-time,/cgi-progs/queryF?AMK,3840,38.764,-120.325,EL DORADO,AMERICAN R,http://cdec.water.ca.gov/
ASS,    613 CFS,flow,ARROYO SECO NR SOLEDAD,real-time,/cgi-progs/queryF?ASS,399,36.2805213928223,-121.322708129883,MONTEREY,SALINAS R,http://cdec.water.ca.gov/
AVL,      2 CFS,flow,ARROYO VALLE NR LIVERMORE,real-time,/cgi-progs/queryF?AVL,510,37.6232643127441,-121.758842468262,ALAMEDA,EAST BAY,http://cdec.water.ca.gov/
BAT,   1190 CFS,flow,BATTLE CREEK,real-time,/cgi-progs/queryF?BAT,200,40.3982086181641,-122.146385192871,TEHAMA,SACRAMENTO R,http://cdec.water.ca.gov/
BRK,    172 CFS,flow,BEAR CK AB HOLSTEN CYN NR RUMSEY,real-time,/cgi-progs/queryF?BRK,920,38.9576759338379,-122.342750549316,COLUSA,CACHE CR,http://cdec.water.ca.gov/
MCK,    603 CFS,flow,BEAR CREEK AT MC KEE ROAD,real-time,/cgi-progs/queryF?MCK,167,37.3092,-120.4456,MERCED,SAN JOAQUIN R,http://cdec.water.ca.gov/
CFW,       BRT,flow,BEAR RIVER AT CAMP FAR WEST DAM,real-time,/cgi-progs/queryF?CFW,260,39.05,-121.317,YUBA,BEAR R,http://cdec.water.ca.gov/
BPG,   3317 CFS,flow,BEAR RIVER AT PLEASANT GROVE RD,real-time,/cgi-progs/queryF?BPG,75,38.9833,-121.4881,SUTTER,BEAR R,http://cdec.water.ca.gov/
BRW,   2900 CFS,flow,BEAR RIVER NEAR WHEATLAND,real-time,/cgi-progs/queryF?BRW,72,39.000171661377,-121.406623840332,PLACER,BEAR R,http://cdec.water.ca.gov/
