station_code,station_name,station_type,query,altitude,latitude,longitude,county,river_basin,data_source
ABJ,A&B CANAL NR JOHNSTONVILLE,real-time,/cgi-progs/queryF?ABJ,4110,40.3639,120.5333,LASSEN,SUSAN R,http://cdec.water.ca.gov/
AGW,A.G. WISHON (PG&E),real-time,/cgi-progs/queryF?AGW,1000,37.151,119.505,MERCED,SAN JOAQUIN R,http://cdec.water.ca.gov/
ACN,ACTON,real-time,/cgi-progs/queryF?ACN,2600,34.446,118.2,LOS ANGELES,SANTA CLARA R,http://cdec.water.ca.gov/
ADM,ADIN MOUNTAIN,real-time,/cgi-progs/queryF?ADM,6200,41.237,120.792,MODOC,PIT R,http://cdec.water.ca.gov/
AGP,AGNEW PASS,real-time,/cgi-progs/queryF?AGP,9450,37.7244,119.143,MADERA,SAN JOAQUIN R,http://cdec.water.ca.gov/
ACD,"ALAMEDA CK ABOVE DIV DAM NR SUNOL, CA.",real-time,/cgi-progs/queryF?ACD,930,37.4974365234375,121.773567199707,SANTA CLARA,ALAMEDA CR,http://cdec.water.ca.gov/
ACC,"ALAMEDA CK BL CALAVERAS CK NR SUNOL, CA.",real-time,/cgi-progs/queryF?ACC,430,37.504,121.824,SANTA CLARA,ALAMEDA CR,http://cdec.water.ca.gov/
ALN,ALAMEDA CK NR NILES,real-time,/cgi-progs/queryF?ALN,86,37.587158203125,121.960792541504,ALAMEDA,ALAMEDA CR,http://cdec.water.ca.gov/
ALD,ALDER POINT,real-time,/cgi-progs/queryF?ALD,923,40.232,123.712,HUMBOLDT,EEL R,http://cdec.water.ca.gov/
ALS,ALDER SPRINGS (USACE),real-time,/cgi-progs/queryF?ALS,4500,39.65,122.725,GLENN,STONY CR,http://cdec.water.ca.gov/
ADS,ALDER SPRINGS NEAR ELK CREEK,real-time,/cgi-progs/queryF?ADS,4500,39.65,122.725,GLENN,STONY CR,http://cdec.water.ca.gov/
ALO,ALISO CANYON,real-time,/cgi-progs/queryF?ALO,2780,34.329,118.555,VENTURA,SANTA CLARA R,http://cdec.water.ca.gov/
ALY,ALLEGHANY,real-time,/cgi-progs/queryF?ALY,4957,39.47,120.875,SIERRA,YUBA R,http://cdec.water.ca.gov/
ALP,ALPHA (SMUD),real-time,/cgi-progs/queryF?ALP,7600,38.805,120.215,EL DORADO,AMERICAN R,http://cdec.water.ca.gov/
API,ALPINE,real-time,/cgi-progs/queryF?API,2041,32.834,116.739,SAN DIEGO,SAN DIEGO R,http://cdec.water.ca.gov/
AHZ,AMERICAN R AT HAZEL AVE BRIDGE,real-time,/cgi-progs/queryF?AHZ,100,38.636,121.224,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
AFD,AMERICAN R BELOW FOLSOM DAM,real-time,/cgi-progs/queryF?AFD,220,38.6883,121.1667,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
CBR,AMERICAN RIVER AT CHILI BAR,real-time,/cgi-progs/queryF?CBR,931,38.772,120.816,EL DORADO,AMERICAN R,http://cdec.water.ca.gov/
AFO,AMERICAN RIVER AT FAIR OAKS,real-time,/cgi-progs/queryF?AFO,72,38.6354598999023,121.227729797363,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
HST,AMERICAN RIVER AT H STREET BRIDGE,real-time,/cgi-progs/queryF?HST,45,38.569,121.423,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
AWP,AMERICAN RIVER AT WILLIAM B POND PARK,real-time,/cgi-progs/queryF?AWP,45,38.591,121.332,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
AWB,AMERICAN RIVER BELOW WATT AVE BRIDGE,real-time,/cgi-progs/queryF?AWB,50,38.567,121.387,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
AMK,AMERICAN SF NR KYBURZ,real-time,/cgi-progs/queryF?AMK,3840,38.764,120.325,EL DORADO,AMERICAN R,http://cdec.water.ca.gov/
AMD,AMMO DUMP,real-time,/cgi-progs/queryF?AMD,1068,33.382,117.286,SAN DIEGO,SANTA MARGARITA R,http://cdec.water.ca.gov/
MUR,ANGELS CK BLW MURPHYS,real-time,/cgi-progs/queryF?MUR,2138,38.1381,120.3386,CALAVERAS,CALAVERAS R,http://cdec.water.ca.gov/
ANG,ANGWIN,real-time,/cgi-progs/queryF?ANG,1815,38.5712,122.4332,NAPA,NAPA R,http://cdec.water.ca.gov/
ANL,ANTELOPE CREEK AT LANDFILL,real-time,/cgi-progs/queryF?ANL,200,38.764,121.26,PLACER,AMERICAN R,http://cdec.water.ca.gov/
