agency_cd	site_no	station_nm	site_tp_cd	lat_va	long_va	latitude	longitude	coord_meth_cd	coord_acy_cd	coord_datum_cd	dec_coord_datum_cd	district_cd	state_cd	county_cd	country_cd	land_net_ds	map_nm	map_scale_fc	alt_va	alt_meth_cd	alt_acy_va	alt_datum_cd	huc_cd	basin_cd	topo_cd	instruments_cd	construction_dt	inventory_dt	drain_area_va	contrib_drain_area_va	tz_cd	local_time_fg	reliability_cd	gw_file_cd	nat_aqfr_cd	aqfr_cd	aqfr_type_cd	well_depth_va	hole_depth_va	depth_src_cd	project_no
5s	15s	50s	7s	16s	16s	16s	16s	1s	1s	10s	10s	3s	2s	3s	2s	23s	20s	7s	8s	1s	3s	10s	16s	2s	1s	30s	8s	8s	8s	8s	6s	1s	1s	30s	10s	8s	1s	8s	8s	1s	12s
USGS	11172300	AGUA FRIA A WARM SPRINGS RD A FREMONT CA	ST	372919	1215542	37.488549	-121.9294031	M	S	NAD27	NAD83	06	06	001	US		MILPITAS	  24000	 60	M	 10	NGVD29	18050004			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y		NNNNNNNN							470600102
USGS	11172320	AGUA FRIA C A KATO RD A FREMONT CA	ST	372901	1215600	37.4835492	-121.9344032	M	S	NAD27	NAD83	06	06	001	US		MILIPITAS	  24000	 15	M	 10	NGVD29	18050004			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y		NNNNNNNN							470600102
USGS	11172360	TOROGAS C A WARM SPRINGS RD A FREMONT CA	ST	372848	1215521	37.479938	-121.9235695	M	S	NAD27	NAD83	06	06	001	US		MILIPITAS	  24000	 80	M	 10	NGVD29	18050004			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y		NNNNNNNN							470600102
USGS	11172365	ZONE 6 LINE B A WARM SPRINGS CA	ST	372811	1215500	37.46966044	-121.9177358	M	S	NAD27	NAD83	06	06	001	US		MILPITAS	  24000	 40	M	 10	NGVD29	18050003			YNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			.83		PST	Y		NNNNNNNN							470600102
USGS	11172945	ALAMEDA C AB DIV DAM NR SUNOL CA	ST	372951	1214621	37.4974356	-121.7735644	M	S	NAD27	NAD83	06	06	001	US	  SENES17 T05S  R02E	CALAVERAS RESERVOIR	  24000	 930	M	 20	NGVD29	18050004			NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN			33.3		PST	Y		NNNNNNNN							470600102
USGS	11172955	ALAMEDA C BL DIV DAM NR SUNOL CA	ST	372955	1214646	37.4986111	-121.7794444	N	S	NAD83	NAD83	06	06	001	US	  SWNES17 T05S  R02E	CALAVERAS RESERVOIR	  24000	 840	M	 20	NGVD29	18050004			NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN			34.9		PST	Y									9677-00102
USGS	11173000	ALAMEDA C NR SUNOL CA	ST	373024	1214808	37.50660238	-121.8032877	M	F	NAD27	NAD83	06	06	001	US								18050004			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			37.5		PST	Y		NNNNNNNN							
USGS	11173500	CALAVERAS C NR SUNOL CA	ST	372952	1214900	37.49771396	-121.8177326	M	S	NAD27	NAD83	06	06	001	US	  NESWS13 T05S  R01E	CALAVERAS RESERVOIR	  24000	 550	M	 20	NGVD29	18050004			NNNNYNNNNYNNNNNNYNNNNNNNNNNNNN			98.7		PST	Y		NNNNNNNN							470600104
USGS	11173510	ALAMEDA C BL CALAVERAS C NR SUNOL CA	ST	373013	1214925	37.5035472	-121.8246774	M	S	NAD27	NAD83	06	06	001	US	  NENES13 T05S  R01E	LA COSTA VALLEY	   2400	 430	M	 20	NGVD29	18050004			YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN			139		PST	Y		NNNNNNNN							470600102
