#
#
# US Geological Survey
# retrieved: 2012-12-27 05:40:46 EST	(caas01)
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterservices.usgs.gov/Site-Service.html
#
# Contact:   gs-w_support_nwisweb@usgs.gov
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  lat_va          -- DMS latitude
#  long_va         -- DMS longitude
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_meth_cd   -- Latitude-longitude method
#  coord_acy_cd    -- Latitude-longitude accuracy
#  coord_datum_cd  -- Latitude-longitude datum
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  district_cd     -- District code
#  state_cd        -- State code
#  county_cd       -- County code
#  country_cd      -- Country code
#  land_net_ds     -- Land net location description
#  map_nm          -- Name of location map
#  map_scale_fc    -- Scale of location map
#  alt_va          -- Altitude of Gage/land surface
#  alt_meth_cd     -- Method altitude determined
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  basin_cd        -- Drainage basin code
#  topo_cd         -- Topographic setting code
#  instruments_cd  -- Flags for instruments at site
#  construction_dt -- Date of first construction
#  inventory_dt    -- Date site established or inventoried
#  drain_area_va   -- Drainage area
#  contrib_drain_area_va -- Contributing drainage area
#  tz_cd           -- Time Zone abbreviation
#  local_time_fg   -- Site honors Daylight Savings Time
#  reliability_cd  -- Data reliability code
#  gw_file_cd      -- Data-other GW files
#  nat_aqfr_cd     -- National aquifer code
#  aqfr_cd         -- Local aquifer code
#  aqfr_type_cd    -- Local aquifer type code
#  well_depth_va   -- Well depth
#  hole_depth_va   -- Hole depth
#  depth_src_cd    -- Source of depth data
#  project_no      -- Project number
#
agency_cd	site_no	station_nm	site_tp_cd	lat_va	long_va	dec_lat_va	dec_long_va	coord_meth_cd	coord_acy_cd	coord_datum_cd	dec_coord_datum_cd	district_cd	state_cd	county_cd	country_cd	land_net_ds	map_nm	map_scale_fc	alt_va	alt_meth_cd	alt_acy_va	alt_datum_cd	huc_cd	basin_cd	topo_cd	instruments_cd	construction_dt	inventory_dt	drain_area_va	contrib_drain_area_va	tz_cd	local_time_fg	reliability_cd	gw_file_cd	nat_aqfr_cd	aqfr_cd	aqfr_type_cd	well_depth_va	hole_depth_va	depth_src_cd	project_no
5s	15s	50s	7s	16s	16s	16s	16s	1s	1s	10s	10s	3s	2s	3s	2s	23s	20s	7s	8s	1s	3s	10s	16s	2s	1s	30s	8s	8s	8s	8s	6s	1s	1s	30s	10s	8s	1s	8s	8s	1s	12s
USGS	11335000	COSUMNES R A MICHIGAN BAR CA	ST	383001	1210239	38.50018619	-121.0452212	M	F	NAD27	NAD83	06	06	067	US	  NWSES36 T08N  R08E			 168.09	L	.01	NGVD29	18040013			NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN			536		PST	Y		NNNNNNNN							
USGS	11335700	DEER C NR SLOUGHHOUSE CA	ST	383306	1210630	38.5515736	-121.1093896	M	F	NAD27	NAD83	06	06	067	US								18040013			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			46.0		PST	Y		NNNNNNNN							
USGS	11336000	COSUMNES R A MCCONNELL CA	ST	382129	1212034	38.3579675	-121.343839	M	F	NAD27	NAD83	06	06	067	US								18040005			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			724		PST	Y		NNNNNNNN							
USGS	11336030	BADGER C A RILEY RD NR GALT CA	ST	382021	1211748	38.33907934	-121.2977267	M	F	NAD27	NAD83	06	06	067	US								18040005			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			13.0		PST	Y		NNNNNNNN							
USGS	11336040	NF BADGER C A RILEY RD NR GALT CA	ST	382106	1211748	38.35157898	-121.2977268	M	F	NAD27	NAD83	06	06	067	US								18040005			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			12.6		PST	Y		NNNNNNNN							
USGS	11336050	WILLOW C A MCKENZIE RD NR GALT CA	ST	381908	1211801	38.3188021	-121.3013378	M	F	NAD27	NAD83	06	06	067	US								18040005			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			2.95		PST	Y		NNNNNNNN							
USGS	11336070	COSUMNES R A HWY 104 NR GALT CA	ST	381727	1212245	38.29074716	-121.3802283	M	F	NAD27	NAD83	06	06	067	US								18040005			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y		NNNNNNNN							
USGS	11336500	HADSELVILLE C A CLAY CA	ST	382018	1210935	38.3382466	-121.160779	M	F	NAD27	NAD83	06	06	067	US								18040005			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			17.8		PST	Y		NNNNNNNN							
USGS	11336530	LAGUNA C A MCKENZIE RD NR GALT CA	ST	381846	1211801	38.3126912	-121.3013377	M	F	NAD27	NAD83	06	06	067	US								18040005			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			117		PST	Y		NNNNNNNN							
USGS	11336550	SKUNK C A MCKENZIE RD NR GALT CA	ST	381757	1211801	38.29908049	-121.3013377	M	F	NAD27	NAD83	06	06	067	US								18040005			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			11.7		PST	Y		NNNNNNNN							
