agency_cd,data_source,site_no,data_type,station_nm,site_tp_cd,lat_va,long_va,latitude,longitude,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no
USGS,http://waterservices.usgs.gov/,9423350,discharge,CARUTHERS C NR IVANPAH CA,ST,351442,1151753,35.24498915,-115.2988759,M,F,NAD27,NAD83,6,6,71,US,  NWNES06 T13N  R16E,PINTO VALLEY,24000,5640,M,20,NGVD29,15030102,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,0.84,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,9427520,discharge,"COLORADO RIVER BELOW PARKER DAM, AZ-CA",ST,341744,1140822,34.29557035,-114.140225,M,T,NAD27,NAD83,4,6,71,US,  NWNWS03 T02N  R27E  S,,,300.54,U,20,NGVD29,15030104,,C,YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,182700,178700,MST,N,,NNNNNNNN,,,,,,,CHI
USGS,http://waterservices.usgs.gov/,9429000,discharge,"PALO VERDE CANAL NEAR BLYTHE, CA",ST-CA,334355,1143040,33.7319659,-114.5118999,M,T,NAD27,NAD83,4,6,65,US,  NWNES19 T05S  R24E  S,,,274.13,M,20,NAVD88,15030104,,C,YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN,,,,,MST,N,,NNNNNNNN,,,,,,,CHI
USGS,http://waterservices.usgs.gov/,9429100,discharge,"COLORADO RIVER BELOW PALO VERDE DAM, AZ-CA",ST,334310,1142950,33.71946626,-114.4980105,M,T,NAD27,NAD83,4,6,65,US,NESENWS002T 04 NR022W G,LA PAZ MTN,24000,281,N,4.3,NAVD88,15030104,2,C,YNNNYNNNNYNNNNNNNNNNNNNNNNNNNN,,,182200,178241,MST,N,,NNNNNNNN,,,,,,,CHI
USGS,http://waterservices.usgs.gov/,9429155,discharge,"PVID F-CANAL SPILL NEAR BLYTHE, CA",ST-CA,333429,1143244,33.57474765,-114.5463436,M,T,NAD27,NAD83,4,6,65,US,  NENES014T 007SR 23E S,BLYTHE,24000,265,N,4.3,NAVD88,15030104,2,C,YNNNYNNNNYYNNNNNNNNNNNNNNNNNNN,,20061005,,,MST,N,,NNNNNNNN,,,,,,,CHI
USGS,http://waterservices.usgs.gov/,9429180,discharge,"PVID D23 SPILL NEAR BLYTHE, CA",ST,332930,1143610,33.4916942,-114.6035666,M,T,NAD27,NAD83,4,6,65,US,,,24000,230,M,20,NAVD88,15030104,,,YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,MST,N,,NNNNNNNN,,,,,,,CHI
USGS,http://waterservices.usgs.gov/,9429200,discharge,"PVID C CANAL SPILL NEAR BLYTHE, CA",ST-CA,332540,1144021,33.42780713,-114.6732907,M,T,NAD27,NAD83,4,6,25,US,,,24000,230,M,20,NAVD88,15030104,,C,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,MST,N,,NNNNNNNN,,,,,,,CHI
USGS,http://waterservices.usgs.gov/,9429600,discharge,"COLORADO RIVER BELOW LAGUNA DAM, AZ-CA",ST,324844,1143051,32.8122666,-114.5149494,M,T,NAD27,NAD83,4,6,25,US,  SENES35 T15S  R24E  S,,,120.81,U,20,NGVD29,15030107,,C,YNNNYNNNNYNNNNNNNNNNNNNNNNNNNN,,,188600,184600,MST,N,,NNNNNNNN,,,,,,,YUM
USGS,http://waterservices.usgs.gov/,9521100,discharge,"COLORADO R BLW YUMA MAIN CANAL WW AT YUMA, AZ",ST,324354,1143755,32.73171354,-114.6327306,M,T,NAD27,NAD83,4,6,25,US,  SWSWS26 T16S  R22E  G,YUMA WEST,24000,101.99,U,20,NGVD29,15030107,,C,YNNNYNNNNYNNNNNNNNNNNNNNNNNNNN,,,246500,,MST,N,,NNNNNNNN,,,,,,,YUM
USGS,http://waterservices.usgs.gov/,9523200,discharge,"RESERVATION MAIN CANAL NEAR YUMA, AZ",ST-CA,324905,1143050,32.8180998,-114.5146716,M,T,NAD27,NAD83,4,6,25,US,NENENES35 T15S  R23E  S,BARD,24000,180,M,10,NGVD29,15030107,,G,YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN,,,,,MST,N,,NYNNNNNN,,,,,,,YUMRES
