name	lat	lng	class	flowinfo	url
"USGS 11088500 BREA C BL BREA DAM NR FULLERTON CA"	33.88779206	-117.92644960	5	"Discharge: 0.72 cfs;Stage: 1.17 ft;Date: 2013-04-08 20:30:00;Percentile: 44.05 %;Class: Normal;% normal(median): 75.00%;% normal(mean): 16.29%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11088500
"USGS 10260865 GRASS VALLEY C BL GRASS VLY LK NR LK ARROWHEAD CA"	34.26361110	-117.21805560	0	"Date: 2013-02-25 11:15:00;Class: Not-ranked;Status: Dis;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=10260865
"USGS 11276500 TUOLUMNE R NR HETCH HETCHY CA"	37.93742147	-119.79823260	5	"Discharge: 144 cfs;Stage: 3.71 ft;Date: 2013-04-08 20:45:00;Percentile: 34.86 %;Class: Normal;% normal(median): 27.69%;% normal(mean): 27.85%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11276500
"USGS 11058000 SAND CANYON C NR HIGHLAND CA"	34.15472220	-117.22666670	0	"Discharge: 0.00 cfs;Stage: 1.00 ft;Date: 2013-04-08 20:45:00;Class: Not-ranked;% normal(median): 0.00%;% normal(mean): 0.00%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11058000
"USGS 11492200 CRATER LAKE NEAR CRATER LAKE, OR"	42.97568430	-122.08919440	0	"Stage: 6172.77 ft;Date (stage): 2013-04-08 20:30:00;Class: Not-ranked;"	http://waterdata.usgs.gov/or/nwis/uv?site_no=11492200
"USGS 11156500 SAN BENITO R NR WILLOW CREEK SCHOOL CA"	36.60940609	-121.20297970	5	"Discharge: 28 cfs;Stage: 3.23 ft;Date: 2013-04-08 20:15:00;Percentile: 67.73 %;Class: Normal;% normal(median): 281.41%;% normal(mean): 56.69%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11156500
"USGS 11073494 ELY PERC BASIN 3 A ONTARIO CA"	34.03556756	-117.61088630	0	"Class: Not-ranked;Status: Dis;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11073494
"USGS 11046000 SANTA MARGARITA R A YSIDORA CA"	33.31114360	-117.34726040	5	"Discharge: 13 cfs;Stage: 4.34 ft;Date: 2013-04-08 20:15:00;Flood stage: 11.1 ft;Percentile: 51.22 %;Class: Normal;% normal(median): 113.04%;% normal(mean): 15.93%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11046000
"USGS 11063500 LONE PINE C NR KEENBROOK CA"	34.26639460	-117.46393880	0	"Discharge: 0.92 cfs;Date: 2008-07-31 23:45:00;Stage: 1.10 ft;Date (stage): 2008-08-01 00:00:00;Class: Not-ranked;% normal(median): 83.64%;% normal(mean): 32.39%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11063500
"USGS 11447903 GEORGIANA SLOUGH NR SACRAMENTO R"	38.23722220	-121.51750000	0	"Discharge: 2590 cfs;Stage: 4.50 ft;Date: 2013-04-08 19:30:00;Class: Not-ranked;% normal(median): %;% normal(mean): %;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11447903
